東山口信用金庫,東山口信金,ﾋｶﾞｼﾔﾏｸﾞﾁｼﾝｷﾝ,防府駅前,ﾎｳﾌｴｷﾏｴ,1789,036,0
東山口信用金庫,東山口信金,ﾋｶﾞｼﾔﾏｸﾞﾁｼﾝｷﾝ,牟礼,ﾑﾚ,1789,037,0
東山口信用金庫,東山口信金,ﾋｶﾞｼﾔﾏｸﾞﾁｼﾝｷﾝ,華城,ﾊﾅｷﾞ,1789,038,0
東山口信用金庫,東山口信金,ﾋｶﾞｼﾔﾏｸﾞﾁｼﾝｷﾝ,大道,ﾀﾞｲﾄﾞｳ,1789,039,0
東山口信用金庫,東山口信金,ﾋｶﾞｼﾔﾏｸﾞﾁｼﾝｷﾝ,下松,ｸﾀﾞﾏﾂ,1789,041,0
東山口信用金庫,東山口信金,ﾋｶﾞｼﾔﾏｸﾞﾁｼﾝｷﾝ,光,ﾋｶﾘ,1789,042,0
東山口信用金庫,東山口信金,ﾋｶﾞｼﾔﾏｸﾞﾁｼﾝｷﾝ,栄町,ｻｶｴﾏﾁ,1789,043,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,本店営業部,ﾎﾝﾃﾝ,1801,001,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,福島,ﾌｸｼﾏ,1801,002,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,津田,ﾂﾀﾞ,1801,003,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,佐古,ｻｺ,1801,004,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,上八万,ｶﾐﾊﾁﾏﾝ,1801,005,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,川内,ｶﾜｳﾁ,1801,006,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,小松島,ｺﾏﾂｼﾏ,1801,007,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,池田,ｲｹﾀﾞ,1801,009,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,渭北,ｲﾎｸ,1801,010,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,二軒屋,ﾆｹﾝﾔ,1801,011,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,三加茂,ﾐｶﾓ,1801,013,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,昭和町,ｼﾖｳﾜﾁﾖｳ,1801,015,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,国府,ｺｸﾌ,1801,016,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,鴨島,ｶﾓｼﾞﾏ,1801,017,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,鳴門,ﾅﾙﾄ,1801,018,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,瀬戸,ｾﾄ,1801,020,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,北島,ｷﾀｼﾞﾏ,1801,022,0
徳島信用金庫,徳島信金,ﾄｸｼﾏｼﾝｷﾝ,藍住,ｱｲｽﾞﾐ,1801,024,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,本店,ﾎﾝﾃﾝ,1803,001,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,見能林,ﾐﾉﾊﾞﾔｼ,1803,002,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,福井,ﾌｸｲ,1803,004,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,羽ノ浦,ﾊﾉｳﾗ,1803,005,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,東部,ﾄｳﾌﾞ,1803,007,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,見能林駅前,ﾐﾉﾊﾞﾔｼｴｷﾏｴ,1803,008,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,上中,ｶﾐﾅｶ,1803,009,0
阿南信用金庫,阿南信金,ｱﾅﾝｼﾝｷﾝ,那賀川,ﾅｶｶﾞﾜ,1803,010,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,本店営業部,ﾎﾝﾃﾝ,1830,020,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,栗林,ﾘﾂﾘﾝ,1830,021,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,西通町,ﾆｼﾄｵﾘﾏﾁ,1830,022,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,八本松,ﾊﾁﾎﾝﾏﾂ,1830,024,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,片原町,ｶﾀﾊﾗﾏﾁ,1830,025,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,花園,ﾊﾅｿﾞﾉ,1830,026,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,屋島,ﾔｼﾏ,1830,028,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,木太,ｷﾀ,1830,029,0
高松信用金庫,高松信金,ﾀｶﾏﾂｼﾝｷﾝ,元山,ﾓﾄﾔﾏ,1830,030,0
